b_range,S,energy_mev,radius_fm,prob_bare,prob_dressed
3.0,25.83669695411066,-4.26918385,1.8851489,0.96829038,0.03170962
3.0,26.281141398555103,-4.73917357,1.83362718,0.96625463,0.03374537
3.0,26.72558584299955,-5.24052544,1.78793166,0.96415591,0.03584409
3.0,27.170030287443993,-5.75127415,1.74682151,0.96213028,0.03786972
3.0,27.614474731888436,-6.293204,1.70983622,0.9600645,0.0399355
3.0,28.058919176332882,-6.84461701,1.67622165,0.95800782,0.04199218
3.2,22.058919176332882,-2.09380956,2.35604348,0.97980404,0.02019596
3.2,22.224788363866328,-2.21588373,2.31518493,0.97921842,0.02078158
3.2,22.503363620777325,-2.44265324,2.24714842,0.97792242,0.02207758
3.2,22.94780806522177,-2.80667838,2.15563944,0.97612035,0.02387965
3.2,23.392252509666214,-3.20986745,2.07443761,0.9741358,0.0258642
3.2,23.83669695411066,-3.6421703,2.00478696,0.9721408,0.0278592
3.2,24.281141398555103,-4.08315435,1.94298246,0.97021696,0.02978304
3.2,24.72558584299955,-4.56253037,1.88811875,0.96812428,0.03187572
3.2,25.170030287443993,-5.0561346,1.83994894,0.96608828,0.03391172
3.2,25.614474731888436,-5.56937149,1.79639731,0.96409704,0.03590296
3.2,26.058919176332882,-6.10708783,1.75737189,0.96204338,0.03795662
3.4,20.224788363866328,0.26066759,14.62236494,0.99887356,0.00112644
3.4,20.66923280831077,-1.93226111,2.45296413,0.9814243,0.0185757
3.4,21.113677252755217,-0.19004812,5.77900814,0.99423379,0.00576621
3.4,21.391651010058332,-0.25603477,5.08133432,0.99339692,0.00660308
3.4,21.431978016136934,-2.5190753,2.26349509,0.97845692,0.02154308
3.4,21.483628142427055,-2.55404593,2.25531397,0.97841132,0.02158868
3.4,21.55812169719966,-2.63355789,2.23436367,0.97779455,0.02220545
3.4,22.002566141644106,-3.0373751,2.14509975,0.97578386,0.02421614
3.4,22.44701058608855,-3.45300904,2.06940518,0.97387109,0.02612891
3.4,22.891455030532995,-3.88588232,2.00455772,0.97210078,0.02789922
3.4,23.335899474977438,-4.36233149,1.94591306,0.96992706,0.03007294
3.4,23.78034391942188,-4.8325789,1.89581227,0.96810033,0.03189967
3.4,24.224788363866328,-5.36678131,1.8468644,0.96596317,0.03403683
3.6,19.483628142427055,-1.80431686,2.54375599,0.98289285,0.01710715
3.6,19.928072586871497,-2.14751527,2.41259126,0.98096115,0.01903885
3.6,20.02912301463152,-0.1987098,5.72206073,0.99438064,0.00561936
3.6,20.30054955773856,-2.44692623,2.3196794,0.97944994,0.02055006
3.6,20.333460195389275,-2.4695677,2.31453134,0.97938382,0.02061618
3.6,20.372517031315944,-2.48391378,2.30923164,0.97944588,0.02055412
3.6,20.816961475760387,-2.88310454,2.21229185,0.97743915,0.02256085
3.6,21.261405920204833,-3.30487868,2.13115295,0.97546436,0.02453564
3.6,21.705850364649276,-3.74619447,2.06007866,0.9734711,0.0265289
3.6,22.150294809093722,-4.22592585,1.99743079,0.97135749,0.02864251
3.6,22.594739253538165,-4.71203164,1.94378347,0.96943364,0.03056636
3.6,23.039183697982608,-5.2156102,1.89475708,0.96749229,0.03250771
3.6,23.483628142427055,-5.74229666,1.85220941,0.96558828,0.03441172
4.0,18.02912301463152,-1.99193393,2.54007057,0.9830063,0.0169937
4.0,18.290223639175185,-2.20639281,2.46468739,0.98187068,0.01812932
4.0,18.299156476270923,-2.21069022,2.46364305,0.98186478,0.01813522
4.0,18.306492485132456,-2.23845974,2.45436802,0.98159142,0.01840858
