r_fm,psi_abs,asymptotic_form,ratio_psi_to_asymptotic
13.035,0.0009688515719,0.04876418443,0.01986809752
13.0748,0.0009575038877,0.04831648368,0.01981733385
13.1146,0.0009463078053,0.04787289324,0.01976709033
13.1544,0.0009352607982,0.04743337538,0.01971735704
13.1942,0.000924360383,0.0469978927,0.01966812403
13.234,0.000913604119,0.04656640816,0.01961938133
13.2738,0.0009029896073,0.04613888505,0.01957111894
13.3136,0.0008925144911,0.04571528701,0.01952332687
13.3534,0.0008821764544,0.04529557798,0.01947599509
13.3932,0.0008719732219,0.04487972228,0.01942911359
13.433,0.0008619025585,0.04446768452,0.01938267233
13.4728,0.0008519622689,0.04405942966,0.01933666131
13.5126,0.0008421501969,0.04365492295,0.01929107051
13.5524,0.0008324642247,0.04325412999,0.01924588993
13.5922,0.0008229022729,0.04285701669,0.01920110956
13.632,0.0008134622999,0.04246354926,0.01915671945
13.6718,0.000804142301,0.04207369422,0.01911270964
13.7116,0.0007949403082,0.04168741842,0.0190690702
13.7514,0.0007858543898,0.041304689,0.01902579123
13.7912,0.0007768826495,0.04092547338,0.01898286288
13.831,0.0007680232264,0.04054973932,0.01894027531
13.8708,0.0007592742942,0.04017745485,0.01889801873
13.9106,0.0007506340605,0.0398085883,0.01885608339
13.9504,0.0007421007668,0.03944310828,0.01881445959
13.9902,0.0007336726876,0.03908098372,0.01877313767
14.03,0.0007253481302,0.0387221838,0.01873210803
14.0698,0.0007171254338,0.03836667799,0.01869136113
14.1096,0.0007090029694,0.03801443606,0.01865088747
14.1494,0.0007009791391,0.03766542804,0.01861067763
14.1892,0.0006930523757,0.03731962424,0.01857072224
14.229,0.0006852211421,0.03697699524,0.01853101199
14.2688,0.0006774839309,0.0366375119,0.01849153766
14.3086,0.0006698392638,0.03630114533,0.01845229008
14.3484,0.0006622856915,0.03596786692,0.01841326018
14.3882,0.0006548217926,0.03563764831,0.01837443893
14.428,0.0006474461735,0.03531046142,0.01833581742
14.4678,0.000640157468,0.03498627841,0.01829738678
14.5076,0.0006329543368,0.03466507171,0.01825913825
14.5474,0.0006258354665,0.03434681398,0.01822106315
14.5872,0.0006187995701,0.03403147816,0.01818315288
14.627,0.0006118453856,0.03371903741,0.01814539894
14.6668,0.0006049716762,0.03340946516,0.01810779291
14.7066,0.0005981772295,0.03310273507,0.01807032646
14.7464,0.0005914608572,0.03279882105,0.01803299138
14.7862,0.0005848213946,0.03249769725,0.01799577952
14.826,0.0005782577,0.03219933804,0.01795868285
14.8658,0.0005717686548,0.03190371805,0.01792169345
14.9056,0.0005653531623,0.03161081213,0.01788480346
14.9454,0.000559010148,0.03132059536,0.01784800517
14.9852,0.0005527385587,0.03103304305,0.01781129095
15.025,0.0005465373622,0.03074813073,0.01777465326
15.0648,0.0005404055471,0.03046583418,0.0177380847
15.1046,0.0005343421219,0.03018612938,0.01770157794
15.1444,0.0005283461153,0.02990899252,0.0176651258
15.1842,0.0005224165751,0.02963440004,0.01762872116
15.224,0.0005165525684,0.02936232858,0.01759235706
15.2638,0.0005107531806,0.02909275498,0.01755602661
15.3036,0.0005050175156,0.02882565633,0.01751972305
15.3434,0.0004993446952,0.02856100988,0.01748343974
15.3832,0.0004937338586,0.02829879314,0.01744717013
15.423,0.000488184162,0.0280389838,0.01741090781
15.4628,0.0004826947786,0.02778155974,0.01737464646
15.5026,0.000477264898,0.02752649908,0.01733837988
15.5424,0.0004718937258,0.02727378012,0.01730210201
15.5822,0.0004665804832,0.02702338135,0.01726580686
15.622,0.000461324407,0.02677528148,0.0172294886
15.6618,0.0004561247489,0.02652945939,0.01719314149
15.7016,0.0004509807754,0.02628589418,0.01715675991
15.7414,0.0004458917673,0.02604456513,0.01712033836
15.7812,0.0004408570195,0.0258054517,0.01708387145
15.821,0.0004358758407,0.02556853355,0.01704735392
15.8608,0.0004309475528,0.02533379054,0.01701078061
15.9006,0.0004260714913,0.02510120269,0.01697414648
15.9404,0.0004212470042,0.02487075021,0.01693744662
15.9802,0.000416473452,0.0246424135,0.01690067623
16.02,0.0004117502077,0.02441617313,0.0168638306
16.0598,0.000407076656,0.02419200986,0.01682690518
16.0996,0.0004024521937,0.02396990462,0.0167898955
16.1394,0.0003978762285,0.02374983852,0.01675279721
16.1792,0.0003933481797,0.02353179282,0.01671560611
16.219,0.0003888674773,0.02331574899,0.01667831805
16.2588,0.0003844335619,0.02310168864,0.01664092906
16.2986,0.0003800458846,0.02288959357,0.01660343524
16.3384,0.0003757039064,0.02267944573,0.01656583282
16.3782,0.0003714070986,0.02247122724,0.01652811814
16.418,0.0003671549417,0.02226492039,0.01649028765
16.4578,0.000362946926,0.02206050763,0.01645233791
16.4976,0.0003587825507,0.02185797157,0.01641426559
16.5374,0.0003546613241,0.02165729498,0.01637606748
16.5772,0.0003505827633,0.02145846079,0.01633774047
16.617,0.0003465463938,0.02126145208,0.01629928156
16.6568,0.0003425517495,0.0210662521,0.01626068785
16.6966,0.0003385983725,0.02087284423,0.01622195656
16.7364,0.0003346858126,0.02068121203,0.01618308502
16.7762,0.0003308136275,0.02049133919,0.01614407064
16.816,0.0003269813824,0.02030320956,0.01610491097
16.8558,0.0003231886498,0.02011680714,0.01606560363
16.8956,0.0003194350094,0.01993211607,0.01602614636
16.9354,0.0003157200477,0.01974912063,0.015986537
16.9752,0.0003120433583,0.01956780526,0.01594677349
17.015,0.0003084045412,0.01938815454,0.01590685388
17.0548,0.0003048032029,0.01921015317,0.01586677629
17.0946,0.0003012389564,0.01903378603,0.01582653897
17.1344,0.0002977114205,0.0188590381,0.01578614025
17.1742,0.0002942202202,0.01868589452,0.01574557856
17.214,0.0002907649864,0.01851434056,0.01570485243
17.2538,0.0002873453555,0.01834436163,0.01566396047
17.2936,0.0002839609694,0.01817594326,0.0156229014
17.3334,0.0002806114757,0.01800907113,0.01558167402
17.3732,0.000277296527,0.01784373104,0.01554027722
17.413,0.0002740157811,0.01767990892,0.01549870999
17.4528,0.0002707689008,0.01751759085,0.0154569714
17.4926,0.0002675555537,0.01735676301,0.01541506061
17.5324,0.0002643754124,0.01719741172,0.01537297686
17.5722,0.0002612281537,0.01703952342,0.01533071949
17.612,0.0002581134593,0.01688308468,0.0152882879
17.6518,0.0002550310151,0.0167280822,0.01524568161
17.6916,0.0002519805114,0.01657450279,0.01520290018
17.7314,0.0002489616424,0.01642233337,0.01515994328
17.7712,0.0002459741068,0.01627156102,0.01511681064
17.811,0.0002430176068,0.01612217289,0.01507350209
17.8508,0.0002400918489,0.01597415629,0.01503001752
17.8906,0.000237196543,0.01582749862,0.01498635689
17.9304,0.0002343314029,0.0156821874,0.01494252025
17.9702,0.000231496146,0.01553821028,0.01489850773
18.01,0.000228690493,0.015395555,0.01485431951
18.0498,0.0002259141682,0.01525420943,0.01480995585
18.0896,0.0002231668991,0.01511416154,0.01476541709
18.1294,0.0002204484166,0.01497539943,0.01472070362
18.1692,0.0002177584546,0.01483791128,0.01467581592
18.209,0.0002150967501,0.0147016854,0.01463075452
18.2488,0.0002124630431,0.0145667102,0.01458552002
18.2886,0.0002098570768,0.01443297419,0.01454011308
18.3284,0.000207278597,0.01430046601,0.01449453443
18.3682,0.0002047273522,0.01416917438,0.01444878485
18.408,0.000202203094,0.01403908813,0.01440286521
18.4478,0.0001997055765,0.01391019619,0.01435677641
18.4876,0.0001972345562,0.0137824876,0.0143105194
18.5274,0.0001947897926,0.0136559515,0.01426409523
18.5672,0.0001923710472,0.01353057711,0.01421750496
18.607,0.0001899780842,0.01340635378,0.01417074974
18.6468,0.0001876106703,0.01328327093,0.01412383074
18.6866,0.0001852685743,0.0131613181,0.01407674922
18.7264,0.0001829515674,0.01304048491,0.01402950646
18.7662,0.0001806594228,0.01292076108,0.01398210382
18.806,0.0001783919163,0.01280213643,0.01393454267
18.8458,0.0001761488255,0.01268460086,0.01388682446
18.8856,0.0001739299302,0.01256814438,0.01383895068
18.9254,0.0001717350122,0.01245275708,0.01379092285
18.9652,0.0001695638554,0.01233842914,0.01374274257
19.005,0.0001674162456,0.01222515084,0.01369441144
19.0448,0.0001652919705,0.01211291254,0.01364593114
19.0846,0.0001631908197,0.0120017047,0.01359730337
19.1244,0.0001611125846,0.01189151784,0.01354852987
19.1642,0.0001590570586,0.0117823426,0.01349961243
19.204,0.0001570240367,0.01167416969,0.01345055287
19.2438,0.0001550133158,0.01156698992,0.01340135307
19.2836,0.0001530246942,0.01146079415,0.0133520149
19.3234,0.0001510579724,0.01135557335,0.01330254032
19.3632,0.000149112952,0.01125131859,0.01325293127
19.403,0.0001471894366,0.01114802098,0.01320318978
19.4428,0.0001452872313,0.01104567173,0.01315331786
19.4826,0.0001434061428,0.01094426215,0.01310331759
19.5224,0.0001415459793,0.01084378361,0.01305319106
19.5622,0.0001397065504,0.01074422755,0.01300294039
19.602,0.0001378876674,0.01064558551,0.01295256774
19.6418,0.0001360891431,0.01054784909,0.01290207529
19.6816,0.0001343107916,0.01045100999,0.01285146525
19.7214,0.0001325524285,0.01035505996,0.01280073984
19.7612,0.0001308138709,0.01025999084,0.01274990133
19.801,0.000129094937,0.01016579454,0.01269895201
19.8408,0.0001273954467,0.01007246305,0.01264789416
19.8806,0.0001257152211,0.009979988438,0.01259673013
19.9204,0.0001240540827,0.009888362825,0.01254546227
19.9602,0.0001224118553,0.009797578421,0.01249409293
20,0.0001207883639,0.009707627502,0.01244262451
